入库时间,因子表达式,品种选择,品种合约,数据周期,预测周期,训练集时间,训练集IC,训练集IR,训练集有效时间点,测试集时间,测试集IC,测试集IR,测试集有效时间点,真实集时间,真实集IC,真实集IR,真实集有效时间点,按IC分类,按IR分类
2026-04-09 11:34:45,"RANK(WR(2), BOLL_UPPER(24, 2.26))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-06-01~2025-08-31,0.0996589460960938,0.2687207663304404,1864,2025-09-01~2025-12-31,0.08543106263389456,0.22023761901744968,2370,2026-01-01~2026-04-09,0.05793084886278756,0.15116111024024204,1677,IC有效因子,IR不稳定因子
2026-04-10 23:26:16,"RANK(WR(2), BOLL_UPPER(24, 2.26))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-06-01~2025-08-31,0.0996589460960938,0.2687207663304404,1864,2025-09-01~2025-12-31,0.08543106263389456,0.22023761901744968,2370,2026-01-01~2026-04-10,0.05793084886278756,0.15116111024024204,1677,IC有效因子,IR不稳定因子
2026-04-11 00:02:33,"RANK(WR(2), BOLL_UPPER(24, 2.26))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-06-01~2025-08-31,0.0996589460960938,0.2687207663304404,1864,2025-09-01~2025-12-31,0.08543106263389456,0.22023761901744968,2370,2026-01-01~2026-04-11,0.05793084886278756,0.15116111024024204,1677,IC有效因子,IR不稳定因子
